20037	5367	10211	15544	24322	1
20038	5368	10212	15545	24323	2
20039	5369	10213	15546	24324	3
20041	5371	10214	15548	24325	4
20042	5372	10215	15549	24326	5
20043	5373	10216	15550	24327	6
20044	5374	10217	15551	24328	7
20045	5376	10218	15553	24330	9
20049	5379	10221	15554	24331	10
20050	5380	10222	15555	24332	11
20054	5381	10249	15556	24338	12
20055	5382	10250	15557	24339	13
20058	5383	10253	15558	24342	14
20060	5384	10255	15559	24344	15
20061	5385	10256	15560	24345	16
20062	5386	10257	15561	24346	17
20063	5387	10258	15562	24347	18
20064	5388	10259	15563	24348	19
20066	5404	10274	15564	24356	24
20067	5405	10276	15565	24357	25
20068	5406	10277	15566	24358	26
20081	5408	10295	15569	24374	27
20082	5409	10296	15570	24375	28
20083	5410	10297	15571	24376	32
20084	5411	10298	15572	24377	34
20085	5412	10299	15573	24378	35
20086	5413	10300	15574	24379	36
20087	5414	10301	15575	24380	37
20088	5415	10302	15576	24381	38
20089	5416	10303	15577	24382	39
20090	5417	10304	15578	24383	40
20093	5422	10305	15579	24384	41
20094	5423	10306	15580	24385	42
20095	5424	10307	15581	24386	43
20100	5429	10314	15586	24392	44
20101	5430	10315	15587	24393	48
20102	5431	10316	15588	24394	49
20103	5432	10317	15589	24395	50
20104	5433	10318	15590	24396	51
20107	5442	10320	15594	24399	55
20108	5443	10321	15595	24400	56
20109	5444	10322	15596	24401	57
20110	5445	10323	15597	24402	58
20112	5447	10325	15598	24403	60
20114	5448	10326	15599	24404	62
20115	5449	10327	15600	24405	63
20116	5450	10328	15601	24406	64
20117	5451	10329	15602	24407	66
20118	5452	10330	15603	24408	67
20119	5453	10331	15604	24409	68
20120	5454	10332	15605	24410	69
20121	5455	10333	15606	24411	70
20122	5456	10334	15607	24412	71
20123	5457	10335	15608	24413	72
20124	5458	10336	15609	24414	73
20125	5459	10337	15610	24415	74
20126	5460	10338	15611	24416	75
20127	5461	10339	15612	24417	76
20128	5462	10340	15613	24418	77
20129	5463	10341	15614	24419	78
20130	5464	10342	15615	24420	79
20131	5465	10343	15616	24421	80
20132	5466	10344	15617	24422	81
20133	5467	10345	15618	24423	83
20134	5468	10346	15619	24424	84
20135	5469	10347	15620	24425	85
20136	5470	10348	15621	24426	86
20137	5471	10349	15622	24427	87
20138	5472	10350	15623	24428	88
20140	5473	10351	15624	24429	89
20141	5474	10352	15625	24430	90
20142	5475	10353	15626	24431	91
20143	5476	10354	15627	24432	92
20144	5477	10355	15628	24433	93
20145	5478	10356	15629	24434	94
20146	5479	10357	15630	24435	95
20147	5482	10360	15633	24438	3371
20148	5483	10361	15634	24439	3370
20149	5484	10362	15635	24440	3369
20151	5486	10364	15637	24442	3367
20153	5490	10367	15640	24445	3366
20154	5491	10369	15641	24446	3365
20155	5492	10374	15647	24451	3364
20156	5493	10375	15648	24452	3363
20157	5498	10376	15649	24453	3362
20158	5499	10377	15650	24454	3361
20159	5500	10378	15651	24456	2331
20160	5502	10379	15652	24457	3360
20161	5503	10380	15653	24458	3359
20162	5504	10381	15654	24459	3358
20163	5505	10382	15655	24460	3357
20165	5507	10388	15657	24462	3356
20166	5508	10389	15665	24463	3355
20168	5509	10390	15666	24464	3354
20169	5510	10391	15667	24465	3353
20177	5511	10392	15668	24466	3350
20178	5512	10393	15669	24467	3349
20179	5513	10394	15670	24468	3348
20180	5514	10395	15671	24469	3347
20181	5515	10396	15672	24470	3346
20182	5516	10397	15673	24471	3345
20183	5517	10398	15674	24472	3344
20184	5536	10399	15675	24473	3343
20186	5537	10400	15676	24474	3342
20187	5538	10401	15677	24475	3341
20188	5539	10402	15678	24476	3340
20189	5540	10403	15679	24477	3339
20190	5541	10411	15680	24478	96
20192	5542	10412	15681	24479	97
20194	5543	10413	15682	24480	98
20195	5544	10414	15683	24481	100
20196	5545	10415	15684	24482	101
20197	5546	10416	15685	24483	102
20198	5547	10417	15686	24484	103
20199	5548	10418	15687	24485	104
20201	5550	10420	15689	24487	3131
20203	5551	10421	15690	24488	3130
20204	5552	10422	15691	24489	3129
20205	5553	10423	15692	24490	3128
20206	5554	10424	15693	24491	3127
20207	5555	10425	15694	24492	3126
20208	5556	10426	15695	24493	3125
20209	5557	10427	15696	24494	3124
20210	5558	10428	15697	24495	3123
20211	5559	10429	15698	24496	3122
20212	5560	10430	15699	24497	3121
20213	5561	10431	15700	24498	3120
20214	5562	10432	15701	24499	3119
20215	5563	10433	15702	24500	3118
20216	5564	10434	15703	24501	3117
20217	5565	10435	15704	24502	3116
20218	5566	10436	15705	24503	3115
20219	5567	10437	15706	24504	3114
20220	5568	10438	15707	24505	3113
20221	5569	10439	15708	24506	3112
20222	5570	10440	15709	24507	3111
20223	5571	10442	15710	24511	3110
20224	5572	10443	15711	24512	3107
20225	5573	10444	15712	24513	3102
20226	5574	10445	15713	24514	3100
20227	5575	10446	15714	24515	3099
20228	5576	10447	15715	24516	3098
20229	5577	10448	15716	24517	3097
20230	5578	10449	15717	24518	3096
20232	5580	10450	15718	24521	3095
20233	5581	10451	15719	24522	3094
20235	5583	10453	15721	24524	3092
20236	5584	10454	15722	24525	3091
20237	5585	10455	15723	24526	3090
20238	5586	10456	15724	24527	3089
20239	5587	10457	15725	24529	184
20240	5588	10458	15726	24530	185
20241	5590	10460	15728	24531	187
20242	5591	10461	15729	24532	263
20243	5592	10462	15730	24533	188
20244	5593	10463	15731	24534	189
20245	5594	10464	15732	24535	190
20246	5595	10465	15733	24536	191
20247	5596	10466	15734	24537	192
20252	5600	10511	15767	24539	203
20253	5601	10512	15768	24540	204
20254	5602	10513	15769	24541	205
20255	5603	10514	15770	24542	206
20260	5612	10515	15779	24642	216
20264	5614	10517	15781	24643	217
20265	5615	10518	15782	24644	218
20266	5616	10519	15783	24645	219
20269	5653	10521	15786	24647	2077
20270	5652	10522	15787	24648	221
20271	5651	10523	15788	24649	222
20324	5812	10665	15936	24819	362
20363	9434	13486	19320	28635	3780
20380	7803	14302	16768	26964	3286
20382	7481	11822	16739	25854	809
20394	5690	10568	15841	24723	4289
20399	5691	10571	15844	24726	4638
20401	5694	10573	15847	24728	245
20404	5697	10576	15850	24731	611
20407	5702	10580	15854	24736	525
20409	5703	10582	15856	24738	3387
20410	5704	10583	15857	24739	2809
20411	5706	10584	15858	24740	273
20412	5707	10585	15859	24741	276
20413	5708	10586	15860	24742	287
20414	5709	10587	15861	24743	288
20416	5710	10588	15862	24744	289
20417	5711	10589	15863	24745	290
20420	5713	10592	15865	24749	295
20421	5714	10593	15866	24750	296
20422	5715	10594	15867	24751	297
20423	5716	10595	15868	24752	299
20424	5717	10596	15869	24753	300
20425	5718	10597	15870	24754	303
20426	5730	10599	15872	24758	306
20427	5732	10600	15873	24759	307
20428	5733	10601	15874	24760	308
20429	5734	10602	15875	24761	309
20430	5735	10603	15876	24762	310
20431	5736	10604	15877	24763	311
20432	6677	10607	16899	25527	630
20433	5739	10609	15880	24766	1320
20434	5740	10610	15881	24767	312
20435	5741	10611	15882	24768	313
20436	5742	10612	15883	24769	314
20437	5743	10613	15884	24770	315
20438	5744	10614	15885	24771	316
