# Lines not beginning with # have the following format: Gene name <tab> family origin <tab> gene history string <tab> locusIsland <tab> initialFamily <tab> originFamily <tab> locusFamily <tab> locFamMRCA <tab> gene description.
########### Begin contig
  20036_E_coli_K12-b0001	X		13485	9140	13279	13485	E_coli_K12	thrL - thr operon leader peptide
  20037_E_coli_K12-b0002	C	OSSSSS	2524	650	2419	2524	s0	thrA - fused aspartate kinase/homoserine dehydrogenase 1
  20038_E_coli_K12-b0003	C	OSSSSS	3104	1116	2988	3104	s0	thrB - homoserine kinase
  20039_E_coli_K12-b0004	C	OSSSD	3105	1117	2989	3105	s0	thrC - threonine synthase
  20040_E_coli_K12-b0005	X	OS	8946	4712	8740	8946	s2	yaaX - DUF2502 domain-containing protein YaaX
  20041_E_coli_K12-b0006	C	OSSSSS	3106	1118	2990	3106	s0	yaaA - peroxide stress resistance protein YaaA
  20042_E_coli_K12-b0007	C	OSSSDS	2076	365	1984	2076	s0	yaaJ - putative transporter YaaJ
  20043_E_coli_K12-b0008	C	OSSSD	976	112	937	976	s0	talB - transaldolase B
  20044_E_coli_K12-b0009	C	OSSSD	2658	768	2552	2658	s0	mog - molybdopterin adenylyltransferase
  20045_E_coli_K12-b0010	C	OSSSSS	3107	1119	2991	3107	s0	satP - acetate/succinate:H(+) symporter
  20046_E_coli_K12-b0011	C	OSS	6940	3536	6738	6940	s1	yaaW - putative enzyme-specific chaperone YaaW
  20047_E_coli_K12-b0012	X		13486	9141	13280	13486	E_coli_K12	mbiA - uncharacterized protein MbiA
  20048_E_coli_K12-b0013	C	OSS	6941	3537	6739	6941	s1	yaaI - DUF2541 domain-containing protein YaaI
  20049_E_coli_K12-b0014	C	OSDD	2390	546	2290	2390	s0	dnaK - chaperone protein DnaK
  20050_E_coli_K12-b0015	C	OSSSDS	2835	917	2725	2835	s0	dnaJ - chaperone protein DnaJ
  20051_E_coli_K12-b0016	X	O	6248	3686	7009	7213	E_coli_K12	insL1 - IS186/IS421 transposase
  20052_E_coli_K12-b0018	X	OD	6248	3206	6054	6248	E_coli_K12	mokC - regulatory protein MokC
  20053_E_coli_K12-b4412	X	OD	6248	3206	6054	6248	E_coli_K12	hokC - protein HokC
  20054_E_coli_K12-b0019	C	OSSSSS	2980	1021	2868	2980	s0	nhaA - Na(+):H(+) antiporter NhaA
  20055_E_coli_K12-b0020	C	OSSSSS	4433	2253	4295	4433	s0	nhaR - DNA-binding transcriptional activator NhaR
  20056_E_coli_K12-b0021	X	O	846	93	813	846	E_coli_K12	insB1 - IS1 protein InsB
  20057_E_coli_K12-b0022	X	O	846	311	1784	1869	E_coli_K12	insA1 - IS1 protein InsA
  20058_E_coli_K12-b0023	C	OSSSSS	3108	1120	2992	3108	s0	rpsT - 30S ribosomal subunit protein S20
  20059_E_coli_K12-b0024	X	OSS	7099	3616	6895	7099	s3	yaaY - DUF2575 domain-containing protein YaaY
  20060_E_coli_K12-b0025	C	OSSSDS	3109	1121	2993	3109	s0	ribF - bifunctional riboflavin kinase/FMN adenylyltransferase
  20061_E_coli_K12-b0026	C	OSSSSS	2527	653	2422	2527	s0	ileS - isoleucine--tRNA ligase
  20062_E_coli_K12-b0027	C	OSSDS	2981	1022	2869	2981	s1	lspA - lipoprotein signal peptidase
  20063_E_coli_K12-b0028	C	OSSDS	2660	770	2554	2660	s0	fkpB - peptidyl-prolyl cis-trans isomerase FkpB
  20064_E_coli_K12-b0029	C	OSSSSS	3110	1122	2994	3110	s0	ispH - 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
  20065_E_coli_K12-b0030	C	OSS	1518	229	1453	1518	s1	rihC - ribonucleoside hydrolase RihC
  20066_E_coli_K12-b0031	C	OSSDSS	3111	1123	2995	3111	s0	dapB - 4-hydroxy-tetrahydrodipicolinate reductase
  20067_E_coli_K12-b0032	C	OSSSS	3112	1124	2996	3112	s1	carA - carbamoyl phosphate synthetase subunit alpha
  20068_E_coli_K12-b0033	C	OSSSSS	3113	1125	2997	3113	s0	carB - carbamoyl phosphate synthetase subunit beta
  20069_E_coli_K12-b0034	X	OSS	191	3617	6896	7100	s3	caiF - DNA-binding transcriptional activator CaiF
  20070_E_coli_K12-b0035	X	OS	2256	450	2156	2256	s4	caiE - putative transferase CaiE
  20071_E_coli_K12-b0036	X	OSS	191	3181	6014	6208	s3	caiD - crotonobetainyl-CoA hydratase
  20072_E_coli_K12-b0037	X	OSS	191	3115	5898	6089	s3	caiC - carnitine--CoA ligase
  20073_E_coli_K12-b0038	X	OSS	191	3357	6354	6550	s3	caiB - gamma-butyrobetainyl-CoA:carnitine CoA transferase
  20074_E_coli_K12-b0039	X	OSS	191	2388	4520	4665	s3	caiA - crotonobetainyl-CoA reductase
  20075_E_coli_K12-b0040	X	OSS	191	3230	6102	6296	s3	caiT - L-carnitine:gamma-butyrobetaine antiporter
  20076_E_coli_K12-b0041	X	OD	191	2513	4747	4900	s3	fixA - putative electron transfer flavoprotein FixA
  20077_E_coli_K12-b0042	X	OSS	191	2466	4670	4822	s3	fixB - putative electron transfer flavoprotein FixB
  20078_E_coli_K12-b0043	X	OSS	191	1107	2970	3086	s3	fixC - putative oxidoreductase FixC
  20079_E_coli_K12-b0044	X	ODS	191	2514	4749	4902	s3	fixX - putative ferredoxin FixX
  20080_E_coli_K12-b0045	X	OSS	191	3453	6567	6765	s3	yaaU - putative transporter YaaU
  20081_E_coli_K12-b0046	C	OSSSSS	694	73	670	694	s0	kefF - regulator of KefC-mediated potassium transport and quinone oxidoreductase
  20082_E_coli_K12-b0047	C	OSDSS	1117	143	1069	1117	s0	kefC - K(+) : H(+) antiporter KefC
  20083_E_coli_K12-b0048	C	OSDSS	2982	1023	2870	2982	s0	folA - dihydrofolate reductase
  20084_E_coli_K12-b0049	C	OSSSD	2662	772	2556	2662	s0	apaH - diadenosine tetraphosphatase
  20085_E_coli_K12-b0050	C	OSSSSS	3116	1127	3000	3116	s0	apaG - DUF525 domain-containing protein ApaG
  20086_E_coli_K12-b0051	C	OSSSSS	3117	1128	3001	3117	s0	rsmA - 16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase
  20087_E_coli_K12-b0052	C	OSSSSS	2666	774	2560	2666	s0	pdxA - 4-hydroxythreonine-4-phosphate dehydrogenase
  20088_E_coli_K12-b0053	C	OSSSSS	3118	1129	3002	3118	s0	surA - chaperone SurA
  20089_E_coli_K12-b0054	C	OSSSDS	3119	1130	3003	3119	s0	lptD - lipopolysaccharide assembly protein LptD
  20090_E_coli_K12-b0055	C	OSSSSS	3120	1131	3004	3120	s0	djlA - co-chaperone protein DjlA
  20091_E_coli_K12-b0056	X		13487	9142	13281	13487	E_coli_K12	yabP - putative uncharacterized protein YabP
  20092_E_coli_K12-b0057	X		13487	9143	13282	13488	E_coli_K12	yabQ - protein YabQ
  20093_E_coli_K12-b0058	C	OSSSSS	2394	550	2294	2394	s0	rluA - 23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase
  20094_E_coli_K12-b0059	C	OSSSD	3121	1132	3005	3121	s0	rapA - RNA polymerase-binding ATPase and RNAP recycling factor
  20095_E_coli_K12-b0060	C	OSSSSS	3122	1133	3006	3122	s0	polB - DNA polymerase II
  20096_E_coli_K12-b0061	C	OSSSS	693	72	669	693	s1	araD - L-ribulose-5-phosphate 4-epimerase AraD
  20097_E_coli_K12-b0062	C	OSSSS	5052	2593	4889	5052	s1	araA - L-arabinose isomerase
  20098_E_coli_K12-b0063	C	OSSSS	4504	2303	4365	4504	s1	araB - ribulokinase
  20099_E_coli_K12-b0064	C	OSSSS	5197	2694	5026	5197	s1	araC - DNA-binding transcriptional dual regulator AraC
  20100_E_coli_K12-b0065	C	OSSSS	2345	513	2245	2345	s1	yabI - DedA family protein YabI
  20101_E_coli_K12-b0066	C	OSSSSS	4406	2232	4268	4406	s0	thiQ - thiamine ABC transporter ATP binding subunit
  20102_E_coli_K12-b0067	C	OSSSSS	3126	1135	3010	3126	s0	thiP - thiamine ABC transporter membrane subunit
  20103_E_coli_K12-b0068	C	OSSSS	2322	495	2222	2322	s1	thiB - thiamine ABC transporter periplasmic binding protein
  20104_E_coli_K12-b0069	C	OSSSSS	2597	720	2491	2597	s0	sgrR - DNA-binding transcriptional dual regulator SgrR
  20105_E_coli_K12-b4662	C	OSSSS	5053	2594	4890	5053	s1	sgrT - PtsG glucose transporter inhibitor
  20106_E_coli_K12-b0070	C	OSSSS	1173	155	1123	1173	s0	setA - sugar exporter SetA
  20107_E_coli_K12-b0071	C	OSSSST	2927	986	2816	2927	s0	leuD - 3-isopropylmalate dehydratase subunit LeuD
  20108_E_coli_K12-b0072	C	OSDS	2426	579	2326	2426	s1	leuC - 3-isopropylmalate dehydratase subunit LeuC
  20109_E_coli_K12-b0073	C	OSSSDS	2503	632	2398	2503	s0	leuB - 3-isopropylmalate dehydrogenase
  20110_E_coli_K12-b0074	C	OSSSDS	2887	964	2777	2887	s0	leuA - 2-isopropylmalate synthase
  20111_E_coli_K12-b0075	X		13489	9144	13283	13489	E_coli_K12	leuL - leu operon leader peptide
  20112_E_coli_K12-b0076	C	OSSSSS	4435	2255	4297	4435	s0	leuO - DNA-binding transcriptional dual regulator LeuO
  20113_E_coli_K12-b4726	X		13490	9145	13284	13490	E_coli_K12	yabR - protein YabR
  20114_E_coli_K12-b0077	C	OSSSSS	444	42	428	444	s0	ilvI - acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit
  20115_E_coli_K12-b0078	C	OSSSSS	3127	1136	3011	3127	s0	ilvH - acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit
  20116_E_coli_K12-b0080	C	OSSSSS	4464	2278	4325	4464	s0	cra - DNA-binding transcriptional dual regulator Cra
  20117_E_coli_K12-b0081	C	OSSSSS	3130	1138	3014	3130	s0	mraZ - DNA-binding transcriptional repressor MraZ
  20118_E_coli_K12-b0082	C	OSSSD	3131	1139	3015	3131	s0	rsmH - 16S rRNA m(4)C1402 methyltransferase
  20119_E_coli_K12-b0083	C	OSSSSS	3132	1140	3016	3132	s0	ftsL - cell division protein FtsL
  20120_E_coli_K12-b0084	C	OSSSSS	1297	178	1238	1297	s0	ftsI - peptidoglycan DD-transpeptidase FtsI
